sim_step,reward,lane0_queue,lane1_queue,lane2_queue,lane3_queue,lane4_queue,lane5_queue,lane6_queue,lane7_queue,total_queue
1800,-49,1,0,1,0,0,2,2,1,7
1805,-36,0,1,1,0,0,0,2,2,6
1810,-49,0,2,1,0,0,0,2,2,7
1815,-81,0,2,1,0,1,0,3,2,9
1820,-144,0,3,2,0,1,0,3,3,12
1825,-196,0,4,3,0,1,0,3,3,14
1830,-289,0,4,6,0,1,0,4,2,17
1835,-256,0,4,6,0,1,0,4,1,16
1840,-289,0,4,6,0,1,0,5,1,17
1845,-361,1,4,6,0,1,2,5,0,19
1850,-400,1,4,6,0,1,2,6,0,20
1855,-441,2,4,6,0,1,2,6,0,21
1860,-441,2,4,5,0,1,2,6,1,21
1865,-361,2,4,3,0,1,3,5,1,19
1870,-289,2,4,2,0,1,3,4,1,17
1875,-169,2,4,0,1,1,3,1,1,13
1880,-144,2,4,0,1,1,3,0,1,12
1885,-144,2,4,0,1,1,3,0,1,12
1890,-144,2,3,0,1,2,3,0,1,12
1895,-49,2,0,0,1,0,3,0,1,7
1900,-64,2,0,0,1,0,3,0,2,8
1905,-64,2,0,0,1,0,3,0,2,8
1910,-64,2,0,0,1,0,3,0,2,8
1915,-81,2,0,0,2,0,3,0,2,9
1920,-81,1,0,0,2,0,3,0,3,9
1925,-144,0,0,0,3,1,3,0,5,12
1930,-81,0,0,0,3,1,0,0,5,9
1935,-81,0,0,0,3,1,0,0,5,9
1940,-81,0,0,0,3,1,0,0,5,9
1945,-121,0,0,0,3,1,0,0,7,11
1950,-144,0,0,1,2,1,0,0,8,12
1955,-121,0,0,1,2,1,0,1,6,11
1960,-36,0,0,1,0,1,0,1,3,6
1965,-49,0,0,1,0,1,0,3,2,7
1970,-64,0,0,3,0,1,0,3,1,8
1975,-49,0,0,3,0,1,0,3,0,7
1980,-49,0,1,2,0,1,0,3,0,7
1985,-16,0,1,0,0,1,0,2,0,4
1990,-9,0,1,0,0,1,0,1,0,3
1995,-16,0,1,0,1,2,0,0,0,4
2000,-36,0,1,1,2,2,0,0,0,6
2005,-36,1,1,0,2,2,0,0,0,6
2010,-36,1,0,1,2,2,0,0,0,6
2015,-36,1,0,2,2,0,0,0,1,6
2020,-36,1,0,2,2,0,0,0,1,6
2025,-49,2,0,2,2,0,0,0,1,7
2030,-81,3,0,2,2,0,1,0,1,9
2035,-100,3,0,2,2,0,1,0,2,10
2040,-64,2,0,2,2,0,0,0,2,8
2045,-64,1,0,3,2,0,0,0,2,8
2050,-49,0,0,3,2,0,0,0,2,7
2055,-49,0,0,3,2,0,0,0,2,7
2060,-64,0,0,3,2,0,0,0,3,8
