sim_step,reward,lane0_queue,lane1_queue,lane2_queue,lane3_queue,lane4_queue,lane5_queue,lane6_queue,lane7_queue,total_queue
1575,-16,1,0,0,1,0,0,1,1,4
1580,-16,1,0,0,1,0,1,0,1,4
1585,-25,1,0,0,1,0,1,0,2,5
1590,-25,1,0,0,1,0,1,0,2,5
1595,-9,1,0,0,0,0,1,0,1,3
1600,-4,1,0,0,0,0,1,0,0,2
1605,-9,1,0,1,0,0,1,0,0,3
1610,-9,1,0,1,0,0,1,0,0,3
1615,-9,1,0,1,0,0,1,0,0,3
1620,-9,1,0,1,0,0,1,0,0,3
1625,-4,0,0,1,0,0,1,0,0,2
1630,-1,0,0,1,0,0,0,0,0,1
1635,-4,0,0,1,0,1,0,0,0,2
1640,-36,0,1,1,1,1,0,1,1,6
1645,-49,0,1,2,1,1,0,1,1,7
1650,-49,0,1,2,1,1,0,1,1,7
1655,-36,0,1,2,1,0,0,1,1,6
1660,-36,0,0,2,1,0,0,1,2,6
1665,-64,0,0,2,1,0,0,2,3,8
1670,-100,0,0,3,1,0,0,3,3,10
1675,-100,0,0,3,1,0,0,3,3,10
1680,-144,0,0,3,1,0,0,4,4,12
1685,-144,0,0,3,0,0,0,4,5,12
1690,-144,0,0,3,0,0,0,5,4,12
1695,-121,0,0,4,0,0,0,5,2,11
1700,-81,0,0,4,0,0,0,5,0,9
1705,-81,0,0,4,0,0,0,5,0,9
1710,-81,0,0,4,0,0,0,5,0,9
1715,-121,0,0,4,0,0,0,6,1,11
1720,-25,0,0,1,0,0,0,3,1,5
1725,-25,0,0,0,0,0,0,3,2,5
1730,-36,2,0,0,0,0,0,2,2,6
1735,-36,2,0,0,0,0,0,2,2,6
1740,-36,2,0,1,0,0,0,0,3,6
1745,-16,2,0,0,0,0,0,0,2,4
1750,-25,2,0,0,0,0,1,0,2,5
1755,-36,2,0,0,0,1,1,1,1,6
1760,-36,2,0,1,0,1,1,1,0,6
1765,-49,2,0,2,0,1,1,1,0,7
1770,-49,2,0,2,0,1,1,1,0,7
1775,-36,2,0,2,0,0,1,1,0,6
1780,-64,3,0,3,0,0,1,1,0,8
1785,-121,3,0,3,1,1,1,1,1,11
1790,-144,3,0,3,2,0,1,2,1,12
1795,-169,3,0,3,2,0,2,2,1,13
1800,-256,4,0,3,3,0,2,2,2,16
1805,-144,4,0,3,1,0,2,2,0,12
1810,-121,4,0,3,0,0,2,2,0,11
1815,-121,4,0,3,0,0,2,2,0,11
1820,-144,4,0,3,0,0,2,2,1,12
1825,-121,4,0,3,0,0,2,2,0,11
1830,-144,4,0,3,0,0,2,3,0,12
1835,-121,4,0,2,0,0,2,3,0,11
1840,-100,4,0,2,0,0,3,1,0,10
1845,-49,4,0,0,0,0,3,0,0,7
1850,-64,4,1,0,0,0,3,0,0,8
1855,-64,4,1,0,0,0,3,0,0,8
1860,-64,4,1,0,0,0,3,0,0,8
1865,-49,4,1,0,0,0,2,0,0,7
1870,-49,2,1,0,0,2,1,1,0,7
1875,-36,0,1,1,0,2,0,2,0,6
1880,-81,0,1,1,1,2,0,2,2,9
1885,-121,0,1,1,2,2,0,3,2,11
1890,-169,0,1,1,2,2,0,4,3,13
1895,-196,0,1,1,3,2,0,4,3,14
1900,-144,0,2,1,3,2,0,4,0,12
1905,-144,0,2,1,2,2,0,5,0,12
1910,-121,0,2,1,0,2,0,6,0,11
1915,-121,0,2,1,0,2,0,6,0,11
1920,-144,0,2,1,0,3,0,6,0,12
1925,-100,0,2,0,0,3,0,5,0,10
1930,-64,1,2,0,0,3,0,1,1,8
1935,-49,1,2,0,0,3,0,0,1,7
1940,-64,2,2,0,0,3,0,0,1,8
1945,-64,2,2,0,0,3,0,0,1,8
1950,-100,2,2,0,1,3,1,0,1,10
1955,-49,2,0,0,1,2,1,0,1,7
1960,-36,2,0,0,1,0,1,1,1,6
1965,-36,2,0,0,1,0,1,1,1,6
1970,-36,2,0,0,1,0,1,1,1,6
1975,-36,2,0,0,1,0,1,1,1,6
1980,-49,2,0,0,1,0,1,2,1,7
1985,-49,3,0,0,0,0,1,3,0,7
1990,-81,3,0,0,0,0,1,5,0,9
1995,-81,3,0,0,0,0,1,5,0,9
2000,-121,3,1,0,0,0,1,6,0,11
2005,-121,3,1,0,0,0,1,6,0,11
2010,-144,3,1,0,0,1,1,6,0,12
2015,-225,3,2,0,1,1,1,7,0,15
2020,-121,3,2,0,1,1,1,2,1,11
2025,-121,3,2,0,1,1,2,0,2,11
2030,-121,3,2,0,1,1,2,0,2,11
2035,-144,3,3,0,1,1,2,0,2,12
2040,-169,3,3,0,1,2,2,0,2,13
2045,-169,2,3,0,2,2,1,1,2,13
2050,-100,0,3,0,2,2,0,1,2,10
2055,-121,0,3,0,2,2,0,2,2,11
2060,-169,1,3,0,2,2,0,2,3,13
2065,-169,0,3,0,3,2,0,2,3,13
2070,-225,0,3,0,3,2,0,2,5,15
2075,-169,0,3,0,2,2,0,2,4,13
2080,-81,0,3,0,1,2,0,2,1,9
2085,-64,0,3,1,0,2,0,2,0,8
2090,-64,0,3,1,0,2,0,2,0,8
2095,-64,0,3,1,0,2,0,2,0,8
2100,-81,0,3,2,0,2,0,2,0,9
2105,-81,0,3,2,0,2,0,1,1,9
2110,-49,0,3,0,0,2,0,0,2,7
2115,-81,1,3,0,0,2,0,0,3,9
2120,-121,1,3,0,0,2,0,1,4,11
2125,-144,1,4,0,1,2,0,0,4,12
2130,-225,2,4,0,1,2,0,1,5,15
2135,-144,2,2,0,1,1,0,1,5,12
2140,-81,2,0,0,1,0,0,1,5,9
2145,-81,2,0,0,1,0,0,1,5,9
2150,-100,2,0,0,1,0,1,1,5,10
2155,-144,2,0,1,1,0,1,2,5,12
2160,-225,2,0,1,2,0,1,2,7,15
2165,-225,2,0,1,2,0,1,3,6,15
2170,-169,3,0,1,0,0,1,3,5,13
2175,-256,3,1,2,1,0,1,3,5,16
2180,-196,3,1,2,0,0,1,3,4,14
2185,-196,3,1,2,0,0,1,5,2,14
2190,-196,3,1,2,0,0,1,6,1,14
2195,-144,3,1,1,0,0,1,6,0,12
2200,-100,3,1,1,0,0,1,4,0,10
